City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Sur,OM,79.66,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
11,Tucuman,AR,75.2,broken clouds,-26.8241,-65.2226,Hotel Premier
18,Tucurui,BR,89.47,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
20,Pamanukan,ID,78.31,few clouds,-6.2842,107.8106,Paris Day Hotel Pamanukan
22,Kapaa,US,82.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
24,Iquitos,PE,86.04,moderate rain,-3.7481,-73.2472,Cortez Malaga Techy Caroly
26,Kupang,ID,80.13,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
28,Clarksdale,US,77.92,clear sky,34.2001,-90.5709,Americas Best Value Inn & Suites Clarksdale
31,Atuona,PF,76.37,clear sky,-9.8,-139.0333,Villa Enata
38,Fare,PF,78.58,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
41,Hithadhoo,MV,81.0,overcast clouds,-0.6,73.0833,Scoop Guest House
46,Hobyo,SO,78.12,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
47,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
48,Pedro Juan Caballero,PY,85.96,scattered clouds,-22.5472,-55.7333,Hotel Pousada do Bosque
54,Tazmalt,DZ,76.95,broken clouds,36.3868,4.3989,Hôtel Numédia
57,Sao Filipe,CV,76.77,scattered clouds,14.8961,-24.4956,Hotel Xaguate
58,Coahuayana,MX,87.94,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
59,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
63,Tual,ID,82.42,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
64,Bengkulu,ID,75.4,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
71,Santa Clarita,US,81.93,few clouds,34.3917,-118.5426,Hyatt Regency Valencia
73,Neiafu,TO,79.48,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
74,Georgetown,MY,77.95,few clouds,5.4112,100.3354,Cititel Penang
79,Marsh Harbour,BS,80.76,clear sky,26.5412,-77.0636,Abaco Beach Resort
83,Kahului,US,86.02,clear sky,20.8947,-156.47,Maui Seaside Hotel
86,Amalapuram,IN,76.05,scattered clouds,16.5833,82.0167,swayamprabha service apartments
97,Cayenne,GF,89.64,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
101,Panaba,MX,86.97,light rain,21.2833,-88.2667,Hotel Don Fernando
105,Cabo San Lucas,MX,86.18,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
106,Sidi Ali,DZ,76.17,overcast clouds,36.0998,0.4206,Khaled
111,Princeton,US,87.03,few clouds,25.5384,-80.4089,American Best Inn
112,Cabedelo,BR,83.07,few clouds,-6.9811,-34.8339,Pousada Camboinha
115,Aitape,PG,76.46,broken clouds,-3.1374,142.3475,
116,Buluang,PH,78.62,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
121,Guerrero Negro,MX,75.24,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
128,Alofi,NU,78.69,few clouds,-19.0595,-169.9187,Taloa Heights
129,Tambacounda,SN,83.05,broken clouds,13.7539,-13.7586,
132,Naze,JP,77.92,overcast clouds,28.3667,129.4833,Shishime Hotel
134,Rafaela,AR,77.0,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
139,Andros Town,BS,84.16,few clouds,24.7,-77.7667,Hanks place
146,Vila Velha,BR,76.95,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
150,Carutapera,BR,83.91,scattered clouds,-1.195,-46.02,Lidera
151,Arlit,NE,89.71,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
165,Bilma,NE,83.1,clear sky,18.6853,12.9164,Expeditions Ténére voyages
168,Butaritari,KI,81.68,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
170,Pangai,TO,78.91,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
174,Faanui,PF,78.94,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
175,Lompoc,US,75.69,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
180,Birao,CF,75.42,overcast clouds,10.2849,22.7882,
185,Kutum,SD,78.71,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
187,Moa,CU,83.61,light rain,20.6569,-74.9403,Carmen
188,Bonoua,CI,80.22,overcast clouds,5.2741,-3.595,Hotel Bon Samaritian
193,Touros,BR,78.46,clear sky,-5.1989,-35.4608,INN NEW HORIZON
195,Ambulu,ID,75.63,moderate rain,-8.345,113.6058,Hotel Ambulu Jember
196,Honolulu,US,83.28,few clouds,21.3069,-157.8583,Aston at the Executive Centre Hotel
199,Mana,GF,82.99,overcast clouds,5.6592,-53.7767,LE SAMANA
205,Meulaboh,ID,75.36,overcast clouds,4.1363,96.1285,Kost Pria
206,Nador,MA,75.45,clear sky,35.174,-2.9287,Hôtel La Giralda
210,Soyo,AO,77.14,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
213,Gat,IL,76.41,clear sky,31.61,34.7642,OlusHome
214,Vanimo,PG,76.42,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
217,Kroya,ID,77.14,overcast clouds,-7.6331,109.2461,Wisma Legoq Kost
220,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
221,Victoria,HK,82.45,overcast clouds,22.2855,114.1577,Mini Central
222,Zaria,NG,75.76,overcast clouds,11.1113,7.7227,A.B.U Hotels
223,Nishihara,JP,80.26,light rain,26.1842,127.7558,Minshuku Agaihama
225,Kidal,ML,86.94,clear sky,18.4411,1.4078,
232,Buraydah,SA,77.45,clear sky,26.326,43.975,Mövenpick Qassim
234,Auki,SB,78.31,broken clouds,-8.7676,160.7034,Auki Motel
236,Kailua,US,83.44,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
237,Alta Floresta,BR,87.62,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
243,Kerrville,US,88.56,clear sky,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
245,Port-Gentil,GA,78.76,overcast clouds,-0.7193,8.7815,Fengshui Residence
247,Delray Beach,US,89.04,scattered clouds,26.4615,-80.0728,Opal Grand Resort
254,Kavieng,PG,81.73,light rain,-2.5744,150.7967,Nusa Island Retreat
259,Mangaluru,IN,77.86,mist,12.8667,74.8833,Goldfinch Hotel Mangaluru
260,Salalah,OM,76.39,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
264,Balabac,PH,80.08,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
268,Tahoua,NE,88.5,clear sky,14.8888,5.2692,Bungalows Guesthouse
269,Arraial Do Cabo,BR,75.06,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
272,Odweyne,SO,75.96,few clouds,9.4092,45.064,Eng Hiirey House
275,Ishigaki,JP,80.73,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
279,Alugan,PH,78.08,heavy intensity rain,12.2188,125.4808,JM Lodge
280,Lorengau,PG,80.08,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
284,Las Vegas,US,82.24,clear sky,36.175,-115.1372,Plaza Hotel & Casino
287,Umm Lajj,SA,84.11,clear sky,25.0213,37.2685,Moon light Furnished Units
290,Adre,TD,80.33,clear sky,13.4667,22.2,
293,San Cristobal,VE,80.78,scattered clouds,7.7669,-72.225,Pirineos
295,Umm Kaddadah,SD,87.71,scattered clouds,13.6017,26.6876,
302,Baculin,PH,77.5,moderate rain,7.4525,126.5842,Baculin Cove Beach Resort
304,Brazzaville,CG,79.32,overcast clouds,-4.2658,15.2832,Hotel Muesse
307,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
317,Tautira,PF,76.8,clear sky,-17.7333,-149.15,Pension Oaoa
323,Avera,US,84.25,few clouds,33.194,-82.5271,
325,Parintins,BR,85.28,overcast clouds,-2.6283,-56.7358,Cama e Cafe
327,Jacqueville,CI,78.3,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
328,Malacatancito,GT,76.53,light rain,15.2167,-91.5167,Hotel Salcaja
331,Poso,ID,77.0,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
332,Toppenish,US,78.01,clear sky,46.3774,-120.3087,Legends Casino Hotel
334,Pokaran,IN,80.38,clear sky,26.9167,71.9167,Motel Pokaran - RTDC
337,Galle,LK,76.95,overcast clouds,6.0367,80.217,Amangalla
339,Wukari,NG,77.54,broken clouds,7.85,9.7833,Elimtop
341,Inirida,CO,81.73,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
345,Mumford,GH,78.26,overcast clouds,5.2618,-0.759,Peace Guest House
346,Thinadhoo,MV,81.28,overcast clouds,0.5333,72.9333,
347,Elizabeth City,US,80.6,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
349,Praya,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
354,Barstow,US,77.16,clear sky,34.8986,-117.0228,"Motel 6 Barstow, CA"
358,Bandarbeyla,SO,77.16,light rain,9.4942,50.8122,JABIR HOTEL
361,Presidente Medici,BR,88.02,moderate rain,-11.1753,-61.9014,Oliveira Palace Hotel
364,Manaure,CO,86.25,overcast clouds,11.7751,-72.4445,Hotel Palaaima
367,Placerville,US,76.32,clear sky,38.7296,-120.7986,Historic Cary House Hotel
368,Chinhoyi,ZW,75.45,few clouds,-17.3667,30.2,Msasa Guest House Chinhoyi (Wendy Shaw)
373,Monrovia,LR,77.2,light rain,6.3005,-10.7969,Sunset Inn
374,Arvin,US,89.06,clear sky,35.2091,-118.8284,Geo Rizo
378,The Valley,AI,86.09,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
381,Gboko,NG,77.56,overcast clouds,7.3179,8.9951,Mavillah Apartment and Suites
384,Mainit,PH,80.62,overcast clouds,9.535,125.5231,Kasili Lakeside Resort and Hotel
387,Trairi,BR,81.05,clear sky,-3.2778,-39.2689,janelas do mar
391,Corn Island,NI,82.2,overcast clouds,12.1694,-83.0418,Big Fish Guest House
392,Chivilcoy,AR,76.14,broken clouds,-34.8957,-60.0167,Chivilrent
396,Catuday,PH,78.44,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
398,Mulege,MX,79.7,clear sky,26.8833,-111.9833,Casa Granada
401,Sinnamary,GF,83.07,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
402,Sabang,ID,80.65,overcast clouds,5.8933,95.3214,Hotel Citra
405,Mabaruma,GY,85.12,broken clouds,8.2,-59.7833,Monty Brooms Guest House
406,Kieta,PG,79.39,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
408,Lockhart,US,89.83,clear sky,28.6194,-81.4426,Courtyard by Marriott Orlando Altamonte Springs/Maitland
411,Aswan,EG,87.1,clear sky,24.0934,32.907,Nuba Nile
413,Gopalpur,IN,77.54,scattered clouds,19.2667,84.9167,Gopalpur Palm Resort
414,Padang,ID,75.83,overcast clouds,-0.9492,100.3543,Mercure Padang
415,Weligama,LK,75.96,overcast clouds,5.9667,80.4167,Weligama Bay Resort
425,Buala,SB,80.13,light rain,-8.145,159.5921,Maringe Lagoon Lodge
426,Eydhafushi,MV,80.92,overcast clouds,5.1033,73.0708,Soneva Fushi
428,Porbandar,IN,80.55,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
430,Labuhan,ID,78.84,light rain,-6.8844,112.2051,DoubleFAG
431,Puerto Carreno,CO,80.58,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
433,Muisne,EC,76.82,overcast clouds,0.6,-80.0333,Quinta Samay
436,Mitsamiouli,KM,75.54,clear sky,-11.3847,43.2844,Foyer ADM
437,Nabire,ID,75.97,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
440,Grenville,GD,86.05,light rain,12.1167,-61.6167,Valley Breeze Guest House
441,Maues,BR,78.62,overcast clouds,-3.3836,-57.7186,Hotel Miramar
442,Muli,MV,80.92,broken clouds,2.9167,73.5667,Medhufushi Island Resort
444,Hermosillo,MX,82.85,few clouds,29.0667,-110.9667,ibis Hermosillo
451,Lagunas,PE,85.19,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
458,Caravelas,BR,75.88,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
461,Ouro Fino,BR,77.31,broken clouds,-22.2831,-46.3692,Hotel Fazenda Ouro Park
462,Rodrigues Alves,BR,79.0,overcast clouds,-7.738,-72.6509,Pousada Aconchego
464,Iberia,US,88.97,clear sky,29.9502,-91.7507,back to back rv park
466,Pangoa,PE,83.5,overcast clouds,-12.1167,-73.0,
468,Valle De Allende,MX,78.78,scattered clouds,26.9333,-105.4,Hotel Meson de San Bartolome
469,Sao Joaquim Da Barra,BR,88.05,broken clouds,-20.5814,-47.8547,Mauad Plaza Hotel
470,Samarai,PG,80.71,broken clouds,-10.6167,150.6667,Nuli Sapi
472,Sao Joao Da Barra,BR,78.89,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
477,Papara,BR,81.0,clear sky,-3.9839,-38.7273,CAMPOS MARANGUAPE
479,Kandrian,PG,77.07,overcast clouds,-6.2167,149.55,Kandrian Station
481,Aku,NG,78.87,broken clouds,6.7081,7.3167,Diewa Hotel And Resort
483,Tahta,EG,77.74,clear sky,26.7693,31.5021,فندق الزيات
484,Kalmunai,LK,77.45,overcast clouds,7.4167,81.8167,VS Villa
488,Buique,BR,76.3,clear sky,-8.6231,-37.1558,Pousada Santos
489,Todos Santos,MX,85.3,clear sky,23.45,-110.2167,Hotel California Todos Santos
491,Diego De Almagro,CL,77.92,clear sky,-26.3667,-70.05,hotel luna del desierto
495,Tenenkou,ML,87.53,few clouds,14.4572,-4.9169,
499,Port Keats,AU,82.38,few clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
501,Saint George,US,78.44,overcast clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
505,Road Town,VG,84.24,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
514,Hurghada,EG,80.64,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
516,Ahuimanu,US,82.85,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
518,Lumberton,US,85.91,broken clouds,34.6182,-79.0086,"Country Inn & Suites by Radisson, Lumberton, NC"
519,Xique-Xique,BR,89.42,clear sky,-10.8218,-42.7263,Hotel J. Macedo
520,Ciudad Bolivar,VE,90.0,overcast clouds,8.1222,-63.5497,Hotel Edi
521,Ormara,PK,79.74,clear sky,25.2088,64.6357,Kenara Colony House for Rent
524,Srandakan,ID,77.45,overcast clouds,-7.9386,110.2506,Puri Brata
528,San Pedro,PH,80.35,broken clouds,14.35,121.0167,Palines Apartment and Guesthouse
537,Yaan,NG,76.48,overcast clouds,7.3833,8.5667,
539,Amahai,ID,77.32,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
541,Hatillo,PR,87.39,broken clouds,18.4863,-66.8254,El Buen Hotel
542,Bambanglipuro,ID,77.29,overcast clouds,-7.95,110.2833,Puri Brata
546,Samana,DO,89.82,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
549,Kapoeta,SS,81.01,light rain,4.7717,33.5903,Eastgate Hotel
552,Inhambane,MZ,77.0,few clouds,-23.865,35.3833,Oceano
558,Harper,LR,76.77,overcast clouds,4.375,-7.7169,Screensaver
564,Houma,US,88.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
576,Shenzhen,CN,83.98,overcast clouds,22.5455,114.0683,Grand Skylight
578,Miri,MY,77.23,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
582,Tagusao,PH,79.48,overcast clouds,9.1924,117.8141,Caycay future beach resort
592,Tessalit,ML,87.21,broken clouds,20.1986,1.0114,
593,Tari,NG,84.69,overcast clouds,12.4086,4.4914,
602,Baghdad,IQ,86.52,overcast clouds,33.3406,44.4009,Baghdad Hotel
614,San Juan,AR,81.28,clear sky,-31.5375,-68.5364,Hotel Provincial
615,Guarapari,BR,75.88,few clouds,-20.6667,-40.4975,Hotel Porto do Sol
621,Sena Madureira,BR,75.67,light rain,-9.0656,-68.6569,Hotel Central
626,Piste,MX,88.41,overcast clouds,20.7,-88.5833,Hotel Villas Arqueologicas Chichen Itza
632,Rio Cuarto,AR,75.67,clear sky,-33.1307,-64.3499,Hotel Menossi
635,Ajdabiya,LY,75.22,overcast clouds,30.7554,20.2263,منزلة الحاج سالم خليفة العيساويه الزواوي
636,Namatanai,PG,79.03,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
642,Acari,PE,75.33,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
645,Formosa,AR,84.2,overcast clouds,-26.1775,-58.1781,Asterión Departamentos
651,Itoman,JP,81.37,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
653,Havelock,US,80.98,broken clouds,34.8791,-76.9013,Sherwood Motel
655,Natal,BR,78.49,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
657,Acapulco,MX,84.56,light rain,16.8634,-99.8901,HS Hotsson Smart Acapulco
664,Amudat,UG,76.23,overcast clouds,1.95,34.95,Silent Night Hotel
